architecture,spearman_r,NDCG,Tuned Alpha
Simple: One Hot,0.6380280176479253,0.6331503803244241,Ridge(alpha=0.01)
AugmentedEC: One Hot,0.6111819789154753,0.5528112293761426,Ridge(alpha=2.03)
Simple: Georgiev,0.6282764068460437,0.5544119405618178,Ridge(alpha=0.01)
AugmentedEC: Georgiev,0.626201090607919,0.5903926166580186,Ridge(alpha=0.01)
Simple: ZScales,0.4148099810624677,0.29707867061158105,Ridge(alpha=0.01)
AugmentedEC: ZScales,0.5694280433073237,0.5700565071630878,Ridge(alpha=100.0)
Simple: VHSE,0.4047198930198223,0.25550332566812567,Ridge(alpha=100.0)
AugmentedEC: VHSE,0.5575287946692176,0.5214521136713206,Ridge(alpha=100.0)
Simple: Physical Descriptors,0.1682944932897552,-0.17921891962212455,Ridge(alpha=100.0)
AugmentedEC: Physical Descriptors,0.4342935378070241,0.18087403640908967,Ridge(alpha=37.379999999999995)
